Data;Categoria;Descrizione;Importo;Tipo
20/02/2026;Dominio & Hosting;Pagamento dominio (Leo Moschen);3,00;Costo
16/06/2026;Software & AI;Claude (Leo Moschen);18,00;Costo
09/05/2026;Lovable;Lovable Studio (Tommaso);12,50;Costo
14/05/2026;Lovable;Top up crediti Lovable (Tommaso);90,00;Costo
02/06/2026;Lovable;Top up crediti Lovable (Tommaso);90,00;Costo
09/06/2026;Lovable;Lovable Studio (Tommaso);12,50;Costo
25/06/2026;Asset Digitali;Higgsfield (Tommaso);114,68;Costo
